Master Record Number,Date,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude,Location
902513658,2015-08-05,Weekday,1500,2-Car,No injury/unknown,IMPROPER LANE USAGE,HAWTHORNE & HUNTER,39.16224,-86.52016,"39.16224,-86.52016"
902513767,2015-09-04,Weekday,1500,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,10TH & JORDAN,39.17155391,-86.51590441,"39.17155391,-86.51590441"
902513847,2015-09-04,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,HILLSIDE & WOODLAWN,39.15052995,-86.52261994,"39.15052995,-86.52261994"
902513875,2015-09-04,Weekday,1700,2-Car,No injury/unknown,UNSAFE BACKING,E 3RD,39.164272,-86.50232131,"39.164272,-86.50232131"
902513920,2015-09-04,Weekday,1600,Bus,No injury/unknown,UNSAFE BACKING,W ALLEN,39.15574596,-86.54770384,"39.15574596,-86.54770384"
902513974,2015-09-04,Weekday,2200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,3RD & JORDAN,39.16424,-86.5164,"39.16424,-86.5164"
902514043,2015-08-03,Weekday,900,2-Car,No injury/unknown,OVERCORRECTING/OVERSTEERING,ADAMS,39.164544,-86.552192,"39.164544,-86.552192"
902514176,2015-09-05,Weekday,1100,2-Car,No injury/unknown,UNSAFE BACKING,W 3RD,39.16516495,-86.57852172,"39.16516495,-86.57852172"
902514185,2015-09-05,Weekday,1100,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,FOREST PARK & SR46W,39.2123644,-86.58817795,"39.2123644,-86.58817795"
902514198,2015-09-05,Weekday,1100,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,10TH & SR46W,39.171648,-86.502096,"39.171648,-86.502096"
902514211,2015-09-05,Weekday,1000,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,SR37S & VICTOR,39.105552,-86.551104,"39.105552,-86.551104"
902514225,2015-09-05,Weekday,1100,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,DANIELS WAY & STATE ROAD 48,39.15422548,-86.59909978,"39.15422548,-86.59909978"
902514280,2015-09-05,Weekday,900,Moped/Motorcycle,Fatal,DISREGARD SIGNAL/REG SIGN,SR37S & VICTOR,39.105552,-86.551104,"39.105552,-86.551104"
902514396,2015-09-05,Weekday,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,N WALNUT & W 7TH,39.16864,-86.533568,"39.16864,-86.533568"
902514472,2015-09-05,Weekday,1700,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,ATWATER & HIGHLAND,39.1632,-86.517584,"39.1632,-86.517584"
902514496,2015-09-05,Weekday,1900,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,3RD & LINCOLN,39.16464,-86.531024,"39.16464,-86.531024"
902534157,2015-10-03,Weekday,1500,2-Car,No injury/unknown,STEERING FAILURE,LAKEVIEW & SR46W,39.22148334,-86.60616326,"39.22148334,-86.60616326"
902534162,2015-10-03,Weekday,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,NORTH COLLEGE & WEST 11TH,39.173232,-86.534752,"39.173232,-86.534752"
902534167,2015-10-03,Weekday,1700,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,SOUTH OLD STATE ROAD 37 & WAYSIDE,39.109248,-86.53128,"39.109248,-86.53128"
902534178,2015-10-02,Weekday,1300,2-Car,No injury/unknown,IMPROPER TURNING,KIRKWOOD & NORTH WALNUT,39.16664,-86.5336,"39.16664,-86.5336"
902534181,2015-10-03,Weekday,2000,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,2ND & MADISON,39.161488,-86.537296,"39.161488,-86.537296"
902534221,2015-10-07,Weekend,200,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,N BOTTOM & W MAPLE GROVE,39.24727991,-86.54774652,"39.24727991,-86.54774652"
902534258,2015-10-01,Weekend,100,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,WEST ARLINGTON,39.185048,-86.550584,"39.185048,-86.550584"
902534297,2015-10-05,Weekday,1100,1-Car,No injury/unknown,LEFT OF CENTER,E DEVINSHIRE COURT & RUSSELL ROAD,39.17996988,-86.48165355,"39.17996988,-86.48165355"
902534299,2015-10-07,Weekend,1600,1-Car,No injury/unknown,ROADWAY SURFACE CONDITION,GIFFORD & PARK SQUARE,39.154448,-86.591696,"39.154448,-86.591696"
902534300,2015-10-01,Weekend,1400,1-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,LOESCH & W OLD VERNAL,39.29203297,-86.59263968,"39.29203297,-86.59263968"
902534322,2015-10-04,Weekday,700,2-Car,No injury/unknown,IMPROPER LANE USAGE,3RD,39.164752,-86.573104,"39.164752,-86.573104"
902534376,2015-10-07,Weekend,800,1-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,S ROCKPORT & S VICTOR,39.053744,-86.606304,"39.053744,-86.606304"
902534381,2015-10-04,Weekday,600,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,17TH & SR46E,39.18077171,-86.50838423,"39.18077171,-86.50838423"
902534491,2015-10-04,Weekday,900,2-Car,No injury/unknown,UNSAFE BACKING,12TH & INDIANA,39.174368,-86.527088,"39.174368,-86.527088"
902534533,2015-10-04,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E THIRD & PETE ELLIS,39.16424,-86.495088,"39.16424,-86.495088"
902534648,2015-10-04,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,SR37N & VERNAL,39.1775537,-86.5612041,"39.1775537,-86.5612041"
902534658,2015-10-04,Weekday,1500,2-Car,Incapacitating,UNSAFE LANE MOVEMENT,W 3RD ST,39.164752,-86.573104,"39.164752,-86.573104"
902534701,2015-10-04,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,E RHORER & S WALNUT STREET,39.12144,-86.526496,"39.12144,-86.526496"
902534707,2015-10-02,Weekday,2000,2-Car,No injury/unknown,IMPROPER TURNING,N CURRY & WOODYARD,39.190672,-86.582992,"39.190672,-86.582992"
902534716,2015-10-04,Weekday,2000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,10TH & INDIANA,39.17168,-86.527024,"39.17168,-86.527024"
902534825,2015-10-05,Weekday,0,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,S KINGSTON,39.16658457,-86.49281455,"39.16658457,-86.49281455"
902534888,2015-10-05,Weekday,700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,2ND & S WALNUT,39.16144,-86.5336,"39.16144,-86.5336"
902534942,2015-10-05,Weekday,800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,3RD & INDIANA,39.164448,-86.5268,"39.164448,-86.5268"
902534996,2015-10-05,Weekday,800,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,3RD & FACULTY,39.164352,-86.521088,"39.164352,-86.521088"
902535257,2015-10-05,Weekday,1500,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,S CLARIZZ,39.152606,-86.492729,"39.152606,-86.492729"
902535259,2015-10-05,Weekday,1700,2-Car,No injury/unknown,UNSAFE BACKING,HUNTER & SWAIN,39.15159628,-86.51525996,"39.15159628,-86.51525996"
902535279,2015-10-05,Weekday,1600,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,STARNES,39.22110748,-86.66004943,"39.22110748,-86.66004943"
902535330,2015-10-05,Weekday,1700,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,LIBERTY & W 3RD,39.16461021,-86.57910409,"39.16461021,-86.57910409"
902535331,2015-10-05,Weekday,1900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,CURRY & W 3RD,39.16463971,-86.58292002,"39.16463971,-86.58292002"
902535342,2015-10-05,Weekday,1300,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,E 2ND & S WASHINGTON,39.16144,-86.5324,"39.16144,-86.5324"
902535359,2015-10-05,Weekday,1700,Moped/Motorcycle,Non-incapacitating,ROADWAY SURFACE CONDITION,10TH & TAMARRON,39.17361975,-86.48213486,"39.17361975,-86.48213486"
902535370,2015-10-05,Weekday,1300,2-Car,No injury/unknown,IMPROPER TURNING,EAST 3RD,39.16416496,-86.49477459,"39.16416496,-86.49477459"
902535396,2015-10-04,Weekday,0,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SR37N & VERNAL,39.176544,-86.5624,"39.176544,-86.5624"
902535457,2015-10-03,Weekday,1900,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,N BRYAN,39.14184,-86.5364,"39.14184,-86.5364"
902535513,2015-10-06,Weekday,700,Moped/Motorcycle,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,ADAMS & PATTERSON,39.1626703,-86.55050882,"39.1626703,-86.55050882"
902535818,2015-10-06,Weekday,1400,2-Car,Incapacitating,DISREGARD SIGNAL/REG SIGN,4TH & COLLEGE,39.16558988,-86.53488971,"39.16558988,-86.53488971"
902535909,2015-10-03,Weekday,1100,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,6TH & WALNUT,39.167648,-86.533584,"39.167648,-86.533584"
902535931,2015-10-06,Weekday,1600,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,EDGEWOOD & SR46W,39.236288,-86.628336,"39.236288,-86.628336"
902535942,2015-10-06,Weekday,1500,3+ Cars,No injury/unknown,FOLLOWING TOO CLOSELY,W 3RD,39.164752,-86.573104,"39.164752,-86.573104"
902535975,2015-10-06,Weekend,2000,1-Car,No injury/unknown,OTHER (ENVIRONMENTAL) - EXPLAIN IN NARR,3RD & REISNER,39.16420989,-86.488,"39.16420989,-86.488"
902536009,2015-10-06,Weekend,2100,Moped/Motorcycle,Incapacitating,RAN OFF ROAD RIGHT,S WALNUT & W ASSOCIATION,39.234688,-86.62792,"39.234688,-86.62792"
902536064,2015-10-07,Weekend,300,1-Car,No injury/unknown,ANIMAL/OBJECT IN ROADWAY,SOUTHDOWNS & WOODLAWN,39.15578923,-86.52265606,"39.15578923,-86.52265606"
902514725,2015-08-05,Weekday,2200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E RHORER & SOUTH WALNUT STREET,39.12144,-86.526496,"39.12144,-86.526496"
902514726,2015-08-06,Weekday,1500,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,S OLD STATE ROAD 37 & W DILLMAN,39.092944,-86.544,"39.092944,-86.544"
902514817,2015-09-06,Weekday,1000,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E 2ND & S HENDERSON,39.16144,-86.527152,"39.16144,-86.527152"
902514835,2015-09-06,Weekday,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,10TH & SUNRISE,39.17475283,-86.51247985,"39.17475283,-86.51247985"
902514943,2015-09-06,Weekday,1200,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,E HUNTER & S WOODLAWN,39.1622103,-86.52263,"39.1622103,-86.52263"
902514984,2015-09-05,Weekday,1800,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,SR48W & W VERNAL,39.17662048,-86.5625099,"39.17662048,-86.5625099"
902515048,2015-09-06,Weekday,1400,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,CURRY & SR45E,39.142048,-86.582592,"39.142048,-86.582592"
902515085,2015-09-06,Weekday,1500,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,SAMPLE & SR37,39.21294425,-86.5228691,"39.21294425,-86.5228691"
902515090,2015-09-06,Weekday,1600,2-Car,No injury/unknown,UNSAFE BACKING,17TH & N JORDAN,39.178848,-86.511088,"39.178848,-86.511088"
902515116,2015-09-05,Weekday,1900,2-Car,No injury/unknown,IMPROPER TURNING,E 3RD,39.16443758,-86.54775367,"39.16443758,-86.54775367"
902515184,2015-09-06,Weekend,2000,2-Car,No injury/unknown,,SOUTH ROOSEVELT,39.16548058,-86.50607675,"39.16548058,-86.50607675"
902515191,2015-09-06,Weekday,1400,1-Car,No injury/unknown,INSECURE/LEAKY LOAD,KINSER & SR46W,39.186544,-86.537888,"39.186544,-86.537888"
902515193,2015-09-06,Weekday,1500,Pedestrian,Incapacitating,BRAKE FAILURE OR DEFECTIVE,SOUTH WALNUT STREET,39.129673,-86.532737,"39.129673,-86.532737"
902515202,2015-09-06,Weekday,1300,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,E ATWATER & S DUNN,39.164448,-86.528096,"39.164448,-86.528096"
902515213,2015-09-06,Weekday,1800,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,PATTERSON & W 3RD,39.16344009,-86.55130598,"39.16344009,-86.55130598"
902515215,2015-08-05,Weekday,1700,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,S WALKER & W 2ND,39.16142978,-86.54614023,"39.16142978,-86.54614023"
902515232,2015-09-05,Weekday,1700,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,ACUFF & SR37,39.20824,-86.554704,"39.20824,-86.554704"
902515238,2015-09-06,Weekend,2200,2-Car,No injury/unknown,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,MULLER,39.16180998,-86.56743228,"39.16180998,-86.56743228"
902515274,2015-09-06,Weekend,2300,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,SR37S & SR45W,39.148144,-86.572992,"39.148144,-86.572992"
902515331,2015-09-05,Weekday,1300,2-Car,Non-incapacitating,LEFT OF CENTER,MAY & ROCKPORT,39.09344,-86.59384767,"39.09344,-86.59384767"
902515336,2015-09-06,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,DODDS & WASHINGTON,39.15738031,-86.53243012,"39.15738031,-86.53243012"
902515396,2015-09-06,Weekday,900,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S WALNUT & S WALNUT STREET,39.107344,-86.5264,"39.107344,-86.5264"
902515407,2015-09-07,Weekend,1000,2-Car,Non-incapacitating,FOLLOWING TOO CLOSELY,N COLLEGE & W 11TH,39.173232,-86.534752,"39.173232,-86.534752"
902515442,2015-09-06,Weekday,1500,2-Car,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,3RD & PATTERSON,39.16344009,-86.55128002,"39.16344009,-86.55128002"
902515483,2015-09-07,Weekend,1400,2-Car,No injury/unknown,UNSAFE LANE MOVEMENT,9TH & N WALNUT,39.170544,-86.533536,"39.170544,-86.533536"
902515564,2015-09-05,Weekday,1900,Bus,No injury/unknown,IMPROPER PASSING,EAST 3RD & S BALLENTINE,39.16427024,-86.51912972,"39.16427024,-86.51912972"
902515576,2015-09-07,Weekend,1300,1-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,W COUNTRYSIDE,39.13621644,-86.54190159,"39.13621644,-86.54190159"
902515577,2015-09-07,Weekend,1500,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,E 10TH,39.171648,-86.50249682,"39.171648,-86.50249682"
902515587,2015-09-07,Weekend,1100,2-Car,No injury/unknown,IMPROPER TURNING,S COLLEGE,39.16115717,-86.53485253,"39.16115717,-86.53485253"
902515676,2015-09-07,Weekend,300,1-Car,No injury/unknown,LEFT OF CENTER,SR37S & W THAT,39.115552,-86.564592,"39.115552,-86.564592"
