Master Record Number,Date,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude,Location,Number of Bars
902498618,2015-08-02,Weekday,1900,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,N PRAIRIE GREEN & SR45E,39.17421898,-86.4755783,"39.17421898,-86.4755783",1
902498633,2015-08-03,Weekday,2000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,W REBA & W WOODHAVEN,39.126048,-86.574192,"39.126048,-86.574192",0
902498634,2015-08-03,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,NORTH COLLEGE & WEST 10TH,39.171744,-86.534768,"39.171744,-86.534768",39
902498644,2015-07-06,Weekday,1700,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,PARK & TEMPERANCE,39.22935002,-86.61848008,"39.22935002,-86.61848008",1
902498650,2015-08-02,Weekday,2000,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,GREENE COUNTY LINE & SR45W,39.10462952,-86.68258058,"39.10462952,-86.68258058",0
902498717,2015-08-03,Weekday,1000,2-Car,No injury/unknown,LEFT OF CENTER,BROOKWOOD & RIDGEWOOD,39.212016,-86.59872,"39.212016,-86.59872",0
902498878,2015-08-04,Weekday,800,1-Car,No injury/unknown,RAN OFF ROAD RIGHT,SR37N & VERNAL,39.17285105,-86.56762445,"39.17285105,-86.56762445",5
902499029,2015-08-04,Weekday,1200,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,N SMITH,39.172048,-86.4816,"39.172048,-86.4816",4
902499206,2015-08-04,Weekday,800,1-Car,No injury/unknown,UNSAFE BACKING,7TH & WOODLAWN,39.16864,-86.523392,"39.16864,-86.523392",42
902499395,2015-08-04,Weekday,1800,Bus,Non-incapacitating,FAILURE TO YIELD RIGHT OF WAY,CHAFFIN CHAPEL & SR46W,39.2620697,-86.65039825,"39.2620697,-86.65039825",0
902499511,2015-08-04,Weekday,1200,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,LIBERTY & SR45W,39.16043091,-86.57913927,"39.16043091,-86.57913927",4
902499692,2015-08-05,Weekday,1100,2-Car,Non-incapacitating,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,CLARIZZ & EAST THIRD,39.16424,-86.4908,"39.16424,-86.4908",6
902499836,2015-08-04,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,LYNWEST & N UNION VALLEY,39.21584,-86.5928,"39.21584,-86.5928",0
902499967,2015-08-05,Weekday,1400,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SALE & SR46W,39.23384,-86.624704,"39.23384,-86.624704",1
902499987,2015-08-05,Weekday,1800,2-Car,No injury/unknown,IMPROPER PASSING,W 3RD,39.16460954,-86.58341825,"39.16460954,-86.58341825",5
902500024,2015-08-05,Weekday,1900,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,OLD SR 37 & W CHURCH LANE,39.107248,-86.531392,"39.107248,-86.531392",0
902500042,2015-08-05,Weekday,1700,2-Car,Incapacitating,FOLLOWING TOO CLOSELY,SOUTH CURRY & WEST 3RD,39.16463971,-86.58290271,"39.16463971,-86.58290271",5
902500044,2015-08-07,Weekend,2300,2-Car,No injury/unknown,UNSAFE BACKING,WOODHAVEN & YELLOWSTONE,39.128048,-86.577664,"39.128048,-86.577664",0
902500214,2015-08-07,Weekend,700,2-Car,Incapacitating,LEFT OF CENTER,OLD ST 37 & W HOBART,39.01368968,-86.5409537,"39.01368968,-86.5409537",0
902500415,2015-08-06,Weekday,1300,2-Car,Incapacitating,DISREGARD SIGNAL/REG SIGN,1ST & HENDERSON,39.15932022,-86.52714014,"39.15932022,-86.52714014",41
902500416,2015-08-06,Weekday,1400,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,JACOB & S GATES,39.16562006,-86.57599993,"39.16562006,-86.57599993",5
902500506,2015-08-06,Weekday,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,GRAHAM & HENDERSON,39.13943969,-86.52692019,"39.13943969,-86.52692019",1
902500659,2015-08-07,Weekend,0,1-Car,Non-incapacitating,ANIMAL/OBJECT IN ROADWAY,N WOODALL & W WOODLAND,39.28072,-86.583408,"39.28072,-86.583408",0
902500708,2015-08-06,Weekday,900,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,7TH & INDIANA,39.16864,-86.526944,"39.16864,-86.526944",42
902500740,2015-08-06,Weekday,500,2-Car,Incapacitating,FAILURE TO YIELD RIGHT OF WAY,GATES & SR48W,39.16458572,-86.57619213,"39.16458572,-86.57619213",5
902500741,2015-08-07,Weekend,900,2-Car,No injury/unknown,UNSAFE BACKING,FAIRVIEW & KIRKWOOD,39.16649801,-86.5408,"39.16649801,-86.5408",43
902500768,2015-08-07,Weekend,1000,2-Car,No injury/unknown,DISREGARD SIGNAL/REG SIGN,3RD & INDIANA,39.164448,-86.5268,"39.164448,-86.5268",43
902500857,2015-08-07,Weekend,1500,2-Car,No injury/unknown,IMPROPER TURNING,14TH & NORTH WALNUT,39.175952,-86.53344,"39.175952,-86.53344",39
902500862,2015-08-07,Weekend,1500,Bus,No injury/unknown,UNSAFE BACKING,EAST 7TH,39.1684337,-86.52330391,"39.1684337,-86.52330391",42
902500895,2015-08-07,Weekend,2100,2-Car,No injury/unknown,IMPROPER TURNING,E 3RD,39.16424,-86.49425989,"39.16424,-86.49425989",6
902500902,2015-08-01,Weekend,100,1-Car,Non-incapacitating,RAN OFF ROAD RIGHT,DRISCOLL & S WALNUT,39.1524598,-86.53370015,"39.1524598,-86.53370015",10
902500910,2015-08-06,Weekday,1700,2-Car,Non-incapacitating,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,SR37S & W TAPP,39.13704,-86.572896,"39.13704,-86.572896",1
902500911,2015-08-06,Weekend,2100,2-Car,No injury/unknown,UNSAFE SPEED,N CURRY & SR46W,39.19377136,-86.5711975,"39.19377136,-86.5711975",0
902500918,2015-08-03,Weekday,1300,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,SR37N & WHISNAND,39.23262822,-86.53192901,"39.23262822,-86.53192901",0
902500959,2015-08-01,Weekend,900,2-Car,No injury/unknown,IMPROPER LANE USAGE,E 2ND & PARK,39.16144,-86.523952,"39.16144,-86.523952",43
902501000,2015-08-01,Weekend,1200,2-Car,Incapacitating,FOLLOWING TOO CLOSELY,7TH & SR46E,39.167648,-86.500096,"39.167648,-86.500096",6
